Row,AnnualReturn,AnnualVol,SharpeRatio,SortinoRatio,CalmarRatio
Low-Risk,3.76324456657693,7.9528922235658,0.236850261990797,0.0929026669679215,0.183627978220898
Moderate-Risk,8.09429794558483,11.1091484917856,0.539417212539775,0.218049435664841,0.330250248678244
High-Risk,21.1802920744318,21.4780162978458,0.817082711364884,0.363197553576628,0.566660764940626
